, ,Number of genomes,gene_class
482,Cluster 482,5,unique
483,Cluster 483,22,accessory
484,Cluster 484,2,unique
485,Cluster 485,63,accessory
486,Cluster 486,5,unique
487,Cluster 487,1,unique
488,Cluster 488,25,accessory
489,Cluster 489,16,accessory
490,Cluster 490,1,unique
491,Cluster 491,32,accessory
492,Cluster 492,63,accessory
493,Cluster 493,6,unique
494,Cluster 494,19,accessory
495,Cluster 495,63,accessory
496,Cluster 496,63,accessory
497,Cluster 497,3,unique
498,Cluster 498,63,accessory
499,Cluster 499,10,unique
500,Cluster 500,8,unique
501,Cluster 501,3,unique
502,Cluster 502,1,unique
503,Cluster 503,1,unique
504,Cluster 504,63,accessory
505,Cluster 505,63,accessory
506,Cluster 506,63,accessory
507,Cluster 507,7,unique
508,Cluster 508,52,accessory
509,Cluster 509,63,accessory
510,Cluster 510,4,unique
511,Cluster 511,3,unique
512,Cluster 512,1,unique
513,Cluster 513,62,accessory
514,Cluster 514,63,accessory
515,Cluster 515,52,accessory
516,Cluster 516,1,unique
517,Cluster 517,44,accessory
518,Cluster 518,1,unique
519,Cluster 519,61,accessory
520,Cluster 520,63,accessory
521,Cluster 521,63,accessory
522,Cluster 522,63,accessory
523,Cluster 523,63,accessory
524,Cluster 524,1,unique
525,Cluster 525,14,accessory
526,Cluster 526,1,unique
527,Cluster 527,30,accessory
528,Cluster 528,59,accessory
529,Cluster 529,10,unique
530,Cluster 530,1,unique
531,Cluster 531,34,accessory
532,Cluster 532,63,accessory
533,Cluster 533,5,unique
534,Cluster 534,63,accessory
535,Cluster 535,63,accessory
536,Cluster 536,1,unique
537,Cluster 537,11,unique
538,Cluster 538,9,unique
539,Cluster 539,63,accessory
540,Cluster 540,6,unique
541,Cluster 541,2,unique
542,Cluster 542,3,unique
543,Cluster 543,38,accessory
544,Cluster 544,6,unique
545,Cluster 545,2,unique
546,Cluster 546,10,unique
547,Cluster 547,63,accessory
548,Cluster 548,11,unique
549,Cluster 549,15,accessory
550,Cluster 550,12,unique
551,Cluster 551,2,unique
552,Cluster 552,4,unique
553,Cluster 553,63,accessory
554,Cluster 554,63,accessory
555,Cluster 555,63,accessory
556,Cluster 556,1,unique
557,Cluster 557,57,accessory
558,Cluster 558,2,unique
559,Cluster 559,1,unique
560,Cluster 560,63,accessory
561,Cluster 561,1,unique
562,Cluster 562,60,accessory
563,Cluster 563,9,unique
564,Cluster 564,8,unique
565,Cluster 565,1,unique
566,Cluster 566,54,accessory
567,Cluster 567,1,unique
568,Cluster 568,63,accessory
569,Cluster 569,63,accessory
570,Cluster 570,62,accessory
571,Cluster 571,8,unique
572,Cluster 572,1,unique
573,Cluster 573,63,accessory
574,Cluster 574,3,unique
575,Cluster 575,1,unique
576,Cluster 576,63,accessory
577,Cluster 577,7,unique
578,Cluster 578,34,accessory
579,Cluster 579,4,unique
580,Cluster 580,12,unique
581,Cluster 581,1,unique
582,Cluster 582,59,accessory
583,Cluster 583,61,accessory
584,Cluster 584,25,accessory
585,Cluster 585,63,accessory
586,Cluster 586,1,unique
587,Cluster 587,63,accessory
588,Cluster 588,19,accessory
589,Cluster 589,27,accessory
590,Cluster 590,63,accessory
591,Cluster 591,51,accessory
592,Cluster 592,63,accessory
593,Cluster 593,63,accessory
594,Cluster 594,63,accessory
595,Cluster 595,63,accessory
596,Cluster 596,62,accessory
597,Cluster 597,47,accessory
598,Cluster 598,20,accessory
599,Cluster 599,63,accessory
600,Cluster 600,55,accessory
601,Cluster 601,63,accessory
602,Cluster 602,55,accessory
603,Cluster 603,2,unique
604,Cluster 604,63,accessory
605,Cluster 605,2,unique
606,Cluster 606,2,unique
607,Cluster 607,13,unique
608,Cluster 608,1,unique
609,Cluster 609,63,accessory
610,Cluster 610,63,accessory
611,Cluster 611,63,accessory
612,Cluster 612,26,accessory
613,Cluster 613,4,unique
614,Cluster 614,63,accessory
615,Cluster 615,56,accessory
616,Cluster 616,22,accessory
617,Cluster 617,63,accessory
618,Cluster 618,19,accessory
619,Cluster 619,62,accessory
620,Cluster 620,4,unique
621,Cluster 621,63,accessory
622,Cluster 622,63,accessory
623,Cluster 623,6,unique
624,Cluster 624,44,accessory
625,Cluster 625,3,unique
626,Cluster 626,2,unique
627,Cluster 627,2,unique
628,Cluster 628,63,accessory
629,Cluster 629,4,unique
630,Cluster 630,6,unique
631,Cluster 631,2,unique
632,Cluster 632,1,unique
633,Cluster 633,55,accessory
634,Cluster 634,1,unique
635,Cluster 635,1,unique
636,Cluster 636,61,accessory
637,Cluster 637,6,unique
638,Cluster 638,2,unique
639,Cluster 639,2,unique
640,Cluster 640,9,unique
641,Cluster 641,63,accessory
642,Cluster 642,7,unique
643,Cluster 643,6,unique
644,Cluster 644,15,accessory
645,Cluster 645,1,unique
646,Cluster 646,2,unique
647,Cluster 647,1,unique
648,Cluster 648,1,unique
649,Cluster 649,40,accessory
650,Cluster 650,1,unique
651,Cluster 651,2,unique
652,Cluster 652,7,unique
653,Cluster 653,33,accessory
654,Cluster 654,63,accessory
655,Cluster 655,63,accessory
656,Cluster 656,48,accessory
657,Cluster 657,11,unique
658,Cluster 658,12,unique
659,Cluster 659,1,unique
660,Cluster 660,1,unique
661,Cluster 661,1,unique
662,Cluster 662,45,accessory
663,Cluster 663,63,accessory
664,Cluster 664,63,accessory
665,Cluster 665,7,unique
666,Cluster 666,1,unique
667,Cluster 667,63,accessory
668,Cluster 668,26,accessory
669,Cluster 669,2,unique
670,Cluster 670,63,accessory
671,Cluster 671,22,accessory
672,Cluster 672,1,unique
673,Cluster 673,1,unique
674,Cluster 674,44,accessory
675,Cluster 675,9,unique
676,Cluster 676,2,unique
677,Cluster 677,1,unique
678,Cluster 678,54,accessory
679,Cluster 679,2,unique
680,Cluster 680,11,unique
681,Cluster 681,6,unique
682,Cluster 682,14,accessory
683,Cluster 683,8,unique
684,Cluster 684,12,unique
685,Cluster 685,17,accessory
686,Cluster 686,2,unique
687,Cluster 687,1,unique
688,Cluster 688,63,accessory
689,Cluster 689,13,unique
690,Cluster 690,63,accessory
691,Cluster 691,48,accessory
692,Cluster 692,1,unique
693,Cluster 693,1,unique
694,Cluster 694,3,unique
695,Cluster 695,5,unique
696,Cluster 696,63,accessory
697,Cluster 697,1,unique
698,Cluster 698,17,accessory
699,Cluster 699,9,unique
700,Cluster 700,1,unique
701,Cluster 701,1,unique
702,Cluster 702,1,unique
703,Cluster 703,5,unique
704,Cluster 704,2,unique
705,Cluster 705,63,accessory
706,Cluster 706,1,unique
707,Cluster 707,1,unique
708,Cluster 708,1,unique
709,Cluster 709,61,accessory
