, ,Number of genomes,gene_class
7865,Cluster 7865,4,unique
7866,Cluster 7866,23,accessory
7867,Cluster 7867,15,accessory
7868,Cluster 7868,4,unique
7869,Cluster 7869,3,unique
7870,Cluster 7870,1,unique
7871,Cluster 7871,2,unique
7872,Cluster 7872,3,unique
7873,Cluster 7873,7,unique
7874,Cluster 7874,1,unique
7875,Cluster 7875,2,unique
7876,Cluster 7876,3,unique
7877,Cluster 7877,4,unique
7878,Cluster 7878,1,unique
7879,Cluster 7879,2,unique
7880,Cluster 7880,11,unique
7881,Cluster 7881,1,unique
7882,Cluster 7882,1,unique
7883,Cluster 7883,19,accessory
7884,Cluster 7884,1,unique
7885,Cluster 7885,1,unique
7886,Cluster 7886,1,unique
7887,Cluster 7887,1,unique
7888,Cluster 7888,1,unique
7889,Cluster 7889,3,unique
7890,Cluster 7890,1,unique
7891,Cluster 7891,1,unique
7892,Cluster 7892,1,unique
7893,Cluster 7893,63,accessory
7894,Cluster 7894,60,accessory
7895,Cluster 7895,22,accessory
7896,Cluster 7896,63,accessory
7897,Cluster 7897,63,accessory
7898,Cluster 7898,8,unique
7899,Cluster 7899,63,accessory
7900,Cluster 7900,59,accessory
7901,Cluster 7901,63,accessory
7902,Cluster 7902,63,accessory
7903,Cluster 7903,2,unique
7904,Cluster 7904,12,unique
7905,Cluster 7905,5,unique
7906,Cluster 7906,2,unique
7907,Cluster 7907,1,unique
7908,Cluster 7908,2,unique
7909,Cluster 7909,5,unique
7910,Cluster 7910,2,unique
7911,Cluster 7911,5,unique
7912,Cluster 7912,10,unique
7913,Cluster 7913,2,unique
7914,Cluster 7914,1,unique
7915,Cluster 7915,1,unique
7916,Cluster 7916,54,accessory
7917,Cluster 7917,9,unique
7918,Cluster 7918,15,accessory
7919,Cluster 7919,2,unique
7920,Cluster 7920,2,unique
7921,Cluster 7921,2,unique
7922,Cluster 7922,2,unique
7923,Cluster 7923,1,unique
7924,Cluster 7924,1,unique
7925,Cluster 7925,1,unique
7926,Cluster 7926,1,unique
7927,Cluster 7927,1,unique
7928,Cluster 7928,1,unique
7929,Cluster 7929,1,unique
7930,Cluster 7930,1,unique
7931,Cluster 7931,1,unique
7932,Cluster 7932,1,unique
7933,Cluster 7933,1,unique
7934,Cluster 7934,63,accessory
7935,Cluster 7935,63,accessory
7936,Cluster 7936,63,accessory
7937,Cluster 7937,61,accessory
7938,Cluster 7938,5,unique
7939,Cluster 7939,63,accessory
7940,Cluster 7940,63,accessory
7941,Cluster 7941,63,accessory
7942,Cluster 7942,63,accessory
7943,Cluster 7943,62,accessory
7944,Cluster 7944,3,unique
7945,Cluster 7945,63,accessory
7946,Cluster 7946,63,accessory
7947,Cluster 7947,22,accessory
7948,Cluster 7948,22,accessory
7949,Cluster 7949,16,accessory
7950,Cluster 7950,22,accessory
7951,Cluster 7951,15,accessory
7952,Cluster 7952,16,accessory
7953,Cluster 7953,20,accessory
7954,Cluster 7954,2,unique
7955,Cluster 7955,4,unique
7956,Cluster 7956,1,unique
7957,Cluster 7957,1,unique
7958,Cluster 7958,1,unique
7959,Cluster 7959,6,unique
7960,Cluster 7960,1,unique
7961,Cluster 7961,45,accessory
7962,Cluster 7962,1,unique
7963,Cluster 7963,3,unique
7964,Cluster 7964,35,accessory
7965,Cluster 7965,18,accessory
7966,Cluster 7966,1,unique
7967,Cluster 7967,7,unique
7968,Cluster 7968,2,unique
7969,Cluster 7969,3,unique
7970,Cluster 7970,2,unique
7971,Cluster 7971,1,unique
7972,Cluster 7972,1,unique
7973,Cluster 7973,63,accessory
7974,Cluster 7974,63,accessory
7975,Cluster 7975,63,accessory
7976,Cluster 7976,61,accessory
7977,Cluster 7977,61,accessory
7978,Cluster 7978,63,accessory
7979,Cluster 7979,63,accessory
7980,Cluster 7980,63,accessory
7981,Cluster 7981,63,accessory
7982,Cluster 7982,63,accessory
7983,Cluster 7983,63,accessory
7984,Cluster 7984,3,unique
7985,Cluster 7985,4,unique
7986,Cluster 7986,46,accessory
7987,Cluster 7987,2,unique
7988,Cluster 7988,31,accessory
7989,Cluster 7989,6,unique
7990,Cluster 7990,6,unique
7991,Cluster 7991,2,unique
7992,Cluster 7992,23,accessory
7993,Cluster 7993,4,unique
7994,Cluster 7994,3,unique
7995,Cluster 7995,4,unique
7996,Cluster 7996,24,accessory
7997,Cluster 7997,3,unique
7998,Cluster 7998,19,accessory
7999,Cluster 7999,1,unique
8000,Cluster 8000,2,unique
8001,Cluster 8001,2,unique
8002,Cluster 8002,63,accessory
8003,Cluster 8003,47,accessory
8004,Cluster 8004,63,accessory
8005,Cluster 8005,63,accessory
8006,Cluster 8006,62,accessory
8007,Cluster 8007,15,accessory
8008,Cluster 8008,36,accessory
8009,Cluster 8009,5,unique
8010,Cluster 8010,15,accessory
8011,Cluster 8011,15,accessory
8012,Cluster 8012,2,unique
8013,Cluster 8013,9,unique
8014,Cluster 8014,4,unique
8015,Cluster 8015,3,unique
8016,Cluster 8016,5,unique
8017,Cluster 8017,5,unique
8018,Cluster 8018,8,unique
8019,Cluster 8019,1,unique
8020,Cluster 8020,1,unique
8021,Cluster 8021,1,unique
8022,Cluster 8022,4,unique
8023,Cluster 8023,1,unique
8024,Cluster 8024,3,unique
8025,Cluster 8025,2,unique
8026,Cluster 8026,1,unique
8027,Cluster 8027,1,unique
8028,Cluster 8028,3,unique
8029,Cluster 8029,1,unique
8030,Cluster 8030,1,unique
8031,Cluster 8031,1,unique
8032,Cluster 8032,1,unique
8033,Cluster 8033,63,accessory
8034,Cluster 8034,63,accessory
8035,Cluster 8035,63,accessory
8036,Cluster 8036,63,accessory
8037,Cluster 8037,63,accessory
8038,Cluster 8038,63,accessory
8039,Cluster 8039,38,accessory
8040,Cluster 8040,37,accessory
8041,Cluster 8041,63,accessory
8042,Cluster 8042,63,accessory
8043,Cluster 8043,2,unique
8044,Cluster 8044,6,unique
8045,Cluster 8045,2,unique
8046,Cluster 8046,22,accessory
8047,Cluster 8047,1,unique
8048,Cluster 8048,6,unique
8049,Cluster 8049,2,unique
8050,Cluster 8050,22,accessory
8051,Cluster 8051,5,unique
8052,Cluster 8052,6,unique
8053,Cluster 8053,2,unique
8054,Cluster 8054,6,unique
8055,Cluster 8055,8,unique
8056,Cluster 8056,7,unique
8057,Cluster 8057,13,unique
8058,Cluster 8058,1,unique
8059,Cluster 8059,5,unique
8060,Cluster 8060,2,unique
8061,Cluster 8061,1,unique
8062,Cluster 8062,1,unique
8063,Cluster 8063,5,unique
8064,Cluster 8064,3,unique
8065,Cluster 8065,1,unique
8066,Cluster 8066,1,unique
8067,Cluster 8067,5,unique
8068,Cluster 8068,6,unique
8069,Cluster 8069,1,unique
8070,Cluster 8070,1,unique
8071,Cluster 8071,1,unique
8072,Cluster 8072,63,accessory
8073,Cluster 8073,63,accessory
8074,Cluster 8074,63,accessory
8075,Cluster 8075,63,accessory
8076,Cluster 8076,63,accessory
8077,Cluster 8077,63,accessory
8078,Cluster 8078,48,accessory
8079,Cluster 8079,63,accessory
8080,Cluster 8080,62,accessory
8081,Cluster 8081,6,unique
8082,Cluster 8082,56,accessory
8083,Cluster 8083,2,unique
8084,Cluster 8084,26,accessory
8085,Cluster 8085,20,accessory
8086,Cluster 8086,3,unique
8087,Cluster 8087,2,unique
8088,Cluster 8088,6,unique
8089,Cluster 8089,16,accessory
8090,Cluster 8090,2,unique
8091,Cluster 8091,2,unique
8092,Cluster 8092,2,unique
8093,Cluster 8093,3,unique
8094,Cluster 8094,1,unique
8095,Cluster 8095,1,unique
8096,Cluster 8096,2,unique
8097,Cluster 8097,4,unique
8098,Cluster 8098,1,unique
8099,Cluster 8099,2,unique
8100,Cluster 8100,3,unique
8101,Cluster 8101,1,unique
8102,Cluster 8102,1,unique
8103,Cluster 8103,56,accessory
8104,Cluster 8104,63,accessory
8105,Cluster 8105,63,accessory
8106,Cluster 8106,63,accessory
8107,Cluster 8107,63,accessory
8108,Cluster 8108,62,accessory
8109,Cluster 8109,63,accessory
8110,Cluster 8110,63,accessory
8111,Cluster 8111,62,accessory
8112,Cluster 8112,17,accessory
8113,Cluster 8113,59,accessory
8114,Cluster 8114,14,accessory
8115,Cluster 8115,63,accessory
8116,Cluster 8116,63,accessory
8117,Cluster 8117,63,accessory
8118,Cluster 8118,4,unique
8119,Cluster 8119,63,accessory
8120,Cluster 8120,63,accessory
8121,Cluster 8121,2,unique
8122,Cluster 8122,4,unique
8123,Cluster 8123,5,unique
8124,Cluster 8124,1,unique
8125,Cluster 8125,4,unique
8126,Cluster 8126,4,unique
8127,Cluster 8127,22,accessory
8128,Cluster 8128,2,unique
8129,Cluster 8129,1,unique
8130,Cluster 8130,1,unique
8131,Cluster 8131,2,unique
8132,Cluster 8132,7,unique
8133,Cluster 8133,3,unique
8134,Cluster 8134,5,unique
8135,Cluster 8135,5,unique
8136,Cluster 8136,3,unique
8137,Cluster 8137,5,unique
8138,Cluster 8138,2,unique
8139,Cluster 8139,1,unique
8140,Cluster 8140,1,unique
8141,Cluster 8141,1,unique
8142,Cluster 8142,1,unique
8143,Cluster 8143,63,accessory
8144,Cluster 8144,63,accessory
8145,Cluster 8145,63,accessory
8146,Cluster 8146,13,unique
8147,Cluster 8147,11,unique
8148,Cluster 8148,1,unique
8149,Cluster 8149,5,unique
8150,Cluster 8150,63,accessory
8151,Cluster 8151,63,accessory
8152,Cluster 8152,63,accessory
8153,Cluster 8153,63,accessory
8154,Cluster 8154,10,unique
8155,Cluster 8155,35,accessory
8156,Cluster 8156,29,accessory
8157,Cluster 8157,16,accessory
8158,Cluster 8158,9,unique
8159,Cluster 8159,2,unique
8160,Cluster 8160,1,unique
8161,Cluster 8161,4,unique
8162,Cluster 8162,13,unique
8163,Cluster 8163,4,unique
8164,Cluster 8164,5,unique
8165,Cluster 8165,7,unique
8166,Cluster 8166,1,unique
8167,Cluster 8167,6,unique
8168,Cluster 8168,2,unique
8169,Cluster 8169,3,unique
8170,Cluster 8170,1,unique
8171,Cluster 8171,2,unique
8172,Cluster 8172,1,unique
8173,Cluster 8173,1,unique
8174,Cluster 8174,4,unique
8175,Cluster 8175,1,unique
8176,Cluster 8176,1,unique
8177,Cluster 8177,1,unique
8178,Cluster 8178,63,accessory
8179,Cluster 8179,7,unique
8180,Cluster 8180,62,accessory
8181,Cluster 8181,100,accessory
8182,Cluster 8182,30,accessory
8183,Cluster 8183,12,unique
8184,Cluster 8184,1,unique
8185,Cluster 8185,3,unique
8186,Cluster 8186,4,unique
8187,Cluster 8187,2,unique
8188,Cluster 8188,15,accessory
8189,Cluster 8189,5,unique
8190,Cluster 8190,2,unique
8191,Cluster 8191,1,unique
8192,Cluster 8192,1,unique
8193,Cluster 8193,1,unique
8194,Cluster 8194,6,unique
8195,Cluster 8195,3,unique
8196,Cluster 8196,1,unique
8197,Cluster 8197,12,unique
8198,Cluster 8198,1,unique
8199,Cluster 8199,1,unique
8200,Cluster 8200,1,unique
8201,Cluster 8201,2,unique
8202,Cluster 8202,62,accessory
8203,Cluster 8203,1,unique
8204,Cluster 8204,2,unique
8205,Cluster 8205,17,accessory
8206,Cluster 8206,13,unique
8207,Cluster 8207,1,unique
8208,Cluster 8208,1,unique
8209,Cluster 8209,3,unique
8210,Cluster 8210,2,unique
8211,Cluster 8211,1,unique
8212,Cluster 8212,1,unique
8213,Cluster 8213,1,unique
8214,Cluster 8214,4,unique
8215,Cluster 8215,1,unique
8216,Cluster 8216,1,unique
8217,Cluster 8217,2,unique
8218,Cluster 8218,1,unique
8219,Cluster 8219,2,unique
8220,Cluster 8220,1,unique
8221,Cluster 8221,63,accessory
8222,Cluster 8222,17,accessory
8223,Cluster 8223,23,accessory
8224,Cluster 8224,63,accessory
8225,Cluster 8225,63,accessory
8226,Cluster 8226,61,accessory
8227,Cluster 8227,63,accessory
8228,Cluster 8228,63,accessory
8229,Cluster 8229,63,accessory
8230,Cluster 8230,49,accessory
8231,Cluster 8231,63,accessory
8232,Cluster 8232,63,accessory
8233,Cluster 8233,63,accessory
8234,Cluster 8234,36,accessory
8235,Cluster 8235,6,unique
8236,Cluster 8236,63,accessory
8237,Cluster 8237,63,accessory
8238,Cluster 8238,58,accessory
8239,Cluster 8239,57,accessory
8240,Cluster 8240,63,accessory
8241,Cluster 8241,12,unique
8242,Cluster 8242,4,unique
8243,Cluster 8243,20,accessory
8244,Cluster 8244,18,accessory
8245,Cluster 8245,15,accessory
8246,Cluster 8246,28,accessory
8247,Cluster 8247,2,unique
8248,Cluster 8248,1,unique
8249,Cluster 8249,1,unique
8250,Cluster 8250,1,unique
8251,Cluster 8251,3,unique
8252,Cluster 8252,4,unique
8253,Cluster 8253,3,unique
8254,Cluster 8254,3,unique
8255,Cluster 8255,4,unique
8256,Cluster 8256,3,unique
8257,Cluster 8257,2,unique
8258,Cluster 8258,1,unique
8259,Cluster 8259,1,unique
8260,Cluster 8260,1,unique
8261,Cluster 8261,2,unique
8262,Cluster 8262,1,unique
8263,Cluster 8263,1,unique
8264,Cluster 8264,1,unique
8265,Cluster 8265,1,unique
8266,Cluster 8266,1,unique
8267,Cluster 8267,63,accessory
8268,Cluster 8268,63,accessory
8269,Cluster 8269,63,accessory
8270,Cluster 8270,39,accessory
8271,Cluster 8271,26,accessory
8272,Cluster 8272,63,accessory
8273,Cluster 8273,63,accessory
8274,Cluster 8274,63,accessory
8275,Cluster 8275,63,accessory
8276,Cluster 8276,3,unique
8277,Cluster 8277,51,accessory
8278,Cluster 8278,33,accessory
8279,Cluster 8279,17,accessory
8280,Cluster 8280,41,accessory
8281,Cluster 8281,12,unique
8282,Cluster 8282,19,accessory
8283,Cluster 8283,21,accessory
8284,Cluster 8284,26,accessory
8285,Cluster 8285,1,unique
8286,Cluster 8286,5,unique
8287,Cluster 8287,4,unique
8288,Cluster 8288,3,unique
8289,Cluster 8289,7,unique
8290,Cluster 8290,4,unique
8291,Cluster 8291,1,unique
8292,Cluster 8292,4,unique
8293,Cluster 8293,2,unique
8294,Cluster 8294,1,unique
8295,Cluster 8295,3,unique
8296,Cluster 8296,3,unique
8297,Cluster 8297,1,unique
8298,Cluster 8298,1,unique
8299,Cluster 8299,1,unique
8300,Cluster 8300,1,unique
8301,Cluster 8301,1,unique
8302,Cluster 8302,1,unique
8303,Cluster 8303,1,unique
8304,Cluster 8304,1,unique
8305,Cluster 8305,63,accessory
8306,Cluster 8306,57,accessory
8307,Cluster 8307,13,unique
8308,Cluster 8308,63,accessory
8309,Cluster 8309,61,accessory
8310,Cluster 8310,63,accessory
8311,Cluster 8311,65,accessory
8312,Cluster 8312,3,unique
8313,Cluster 8313,3,unique
8314,Cluster 8314,2,unique
8315,Cluster 8315,2,unique
8316,Cluster 8316,15,accessory
8317,Cluster 8317,1,unique
8318,Cluster 8318,7,unique
8319,Cluster 8319,5,unique
8320,Cluster 8320,1,unique
8321,Cluster 8321,3,unique
8322,Cluster 8322,3,unique
8323,Cluster 8323,3,unique
8324,Cluster 8324,4,unique
8325,Cluster 8325,3,unique
8326,Cluster 8326,1,unique
8327,Cluster 8327,5,unique
8328,Cluster 8328,42,accessory
8329,Cluster 8329,3,unique
8330,Cluster 8330,1,unique
8331,Cluster 8331,1,unique
8332,Cluster 8332,1,unique
8333,Cluster 8333,1,unique
8334,Cluster 8334,1,unique
8335,Cluster 8335,1,unique
8336,Cluster 8336,1,unique
8337,Cluster 8337,1,unique
8338,Cluster 8338,25,accessory
8339,Cluster 8339,63,accessory
8340,Cluster 8340,63,accessory
8341,Cluster 8341,63,accessory
8342,Cluster 8342,7,unique
8343,Cluster 8343,38,accessory
8344,Cluster 8344,7,unique
8345,Cluster 8345,63,accessory
8346,Cluster 8346,6,unique
8347,Cluster 8347,61,accessory
8348,Cluster 8348,1,unique
8349,Cluster 8349,8,unique
8350,Cluster 8350,15,accessory
8351,Cluster 8351,19,accessory
8352,Cluster 8352,25,accessory
8353,Cluster 8353,4,unique
8354,Cluster 8354,1,unique
8355,Cluster 8355,4,unique
8356,Cluster 8356,2,unique
8357,Cluster 8357,2,unique
8358,Cluster 8358,9,unique
8359,Cluster 8359,1,unique
8360,Cluster 8360,1,unique
8361,Cluster 8361,1,unique
8362,Cluster 8362,1,unique
8363,Cluster 8363,1,unique
8364,Cluster 8364,2,unique
8365,Cluster 8365,3,unique
8366,Cluster 8366,1,unique
8367,Cluster 8367,1,unique
8368,Cluster 8368,2,unique
8369,Cluster 8369,1,unique
8370,Cluster 8370,5,unique
8371,Cluster 8371,1,unique
8372,Cluster 8372,1,unique
8373,Cluster 8373,1,unique
8374,Cluster 8374,3,unique
8375,Cluster 8375,3,unique
8376,Cluster 8376,1,unique
8377,Cluster 8377,63,accessory
8378,Cluster 8378,63,accessory
8379,Cluster 8379,63,accessory
8380,Cluster 8380,59,accessory
8381,Cluster 8381,2,unique
8382,Cluster 8382,3,unique
8383,Cluster 8383,45,accessory
8384,Cluster 8384,52,accessory
8385,Cluster 8385,52,accessory
8386,Cluster 8386,5,unique
8387,Cluster 8387,8,unique
8388,Cluster 8388,1,unique
8389,Cluster 8389,1,unique
8390,Cluster 8390,5,unique
8391,Cluster 8391,5,unique
8392,Cluster 8392,21,accessory
8393,Cluster 8393,2,unique
8394,Cluster 8394,1,unique
8395,Cluster 8395,2,unique
8396,Cluster 8396,2,unique
8397,Cluster 8397,22,accessory
8398,Cluster 8398,2,unique
8399,Cluster 8399,1,unique
8400,Cluster 8400,2,unique
8401,Cluster 8401,1,unique
8402,Cluster 8402,1,unique
8403,Cluster 8403,1,unique
8404,Cluster 8404,1,unique
8405,Cluster 8405,1,unique
8406,Cluster 8406,63,accessory
8407,Cluster 8407,63,accessory
8408,Cluster 8408,63,accessory
8409,Cluster 8409,63,accessory
8410,Cluster 8410,63,accessory
8411,Cluster 8411,63,accessory
8412,Cluster 8412,32,accessory
8413,Cluster 8413,63,accessory
8414,Cluster 8414,63,accessory
8415,Cluster 8415,63,accessory
8416,Cluster 8416,13,unique
8417,Cluster 8417,28,accessory
8418,Cluster 8418,46,accessory
8419,Cluster 8419,63,accessory
8420,Cluster 8420,63,accessory
8421,Cluster 8421,63,accessory
8422,Cluster 8422,63,accessory
8423,Cluster 8423,3,unique
8424,Cluster 8424,8,unique
8425,Cluster 8425,8,unique
8426,Cluster 8426,5,unique
8427,Cluster 8427,25,accessory
8428,Cluster 8428,35,accessory
8429,Cluster 8429,7,unique
8430,Cluster 8430,6,unique
8431,Cluster 8431,15,accessory
8432,Cluster 8432,2,unique
8433,Cluster 8433,1,unique
8434,Cluster 8434,1,unique
8435,Cluster 8435,7,unique
8436,Cluster 8436,7,unique
8437,Cluster 8437,2,unique
8438,Cluster 8438,2,unique
8439,Cluster 8439,3,unique
8440,Cluster 8440,63,accessory
8441,Cluster 8441,2,unique
8442,Cluster 8442,53,accessory
8443,Cluster 8443,1,unique
8444,Cluster 8444,2,unique
8445,Cluster 8445,5,unique
8446,Cluster 8446,1,unique
8447,Cluster 8447,1,unique
8448,Cluster 8448,2,unique
8449,Cluster 8449,1,unique
8450,Cluster 8450,1,unique
8451,Cluster 8451,3,unique
8452,Cluster 8452,2,unique
8453,Cluster 8453,1,unique
8454,Cluster 8454,1,unique
8455,Cluster 8455,1,unique
8456,Cluster 8456,1,unique
8457,Cluster 8457,1,unique
8458,Cluster 8458,3,unique
8459,Cluster 8459,2,unique
8460,Cluster 8460,2,unique
8461,Cluster 8461,2,unique
8462,Cluster 8462,1,unique
8463,Cluster 8463,1,unique
8464,Cluster 8464,1,unique
8465,Cluster 8465,2,unique
8466,Cluster 8466,63,accessory
8467,Cluster 8467,62,accessory
8468,Cluster 8468,63,accessory
8469,Cluster 8469,63,accessory
8470,Cluster 8470,62,accessory
8471,Cluster 8471,42,accessory
8472,Cluster 8472,31,accessory
8473,Cluster 8473,63,accessory
8474,Cluster 8474,7,unique
8475,Cluster 8475,48,accessory
8476,Cluster 8476,6,unique
8477,Cluster 8477,4,unique
8478,Cluster 8478,2,unique
8479,Cluster 8479,8,unique
8480,Cluster 8480,1,unique
8481,Cluster 8481,63,accessory
8482,Cluster 8482,15,accessory
8483,Cluster 8483,7,unique
8484,Cluster 8484,1,unique
8485,Cluster 8485,1,unique
8486,Cluster 8486,1,unique
8487,Cluster 8487,19,accessory
8488,Cluster 8488,2,unique
8489,Cluster 8489,1,unique
8490,Cluster 8490,1,unique
8491,Cluster 8491,8,unique
8492,Cluster 8492,3,unique
8493,Cluster 8493,14,accessory
8494,Cluster 8494,2,unique
8495,Cluster 8495,1,unique
8496,Cluster 8496,2,unique
8497,Cluster 8497,1,unique
8498,Cluster 8498,4,unique
8499,Cluster 8499,5,unique
8500,Cluster 8500,3,unique
8501,Cluster 8501,1,unique
8502,Cluster 8502,3,unique
8503,Cluster 8503,1,unique
8504,Cluster 8504,2,unique
8505,Cluster 8505,1,unique
8506,Cluster 8506,2,unique
8507,Cluster 8507,1,unique
8508,Cluster 8508,1,unique
8509,Cluster 8509,1,unique
8510,Cluster 8510,46,accessory
8511,Cluster 8511,11,unique
8512,Cluster 8512,38,accessory
8513,Cluster 8513,5,unique
8514,Cluster 8514,63,accessory
8515,Cluster 8515,63,accessory
8516,Cluster 8516,17,accessory
8517,Cluster 8517,63,accessory
8518,Cluster 8518,63,accessory
8519,Cluster 8519,63,accessory
8520,Cluster 8520,63,accessory
8521,Cluster 8521,10,unique
8522,Cluster 8522,2,unique
8523,Cluster 8523,11,unique
8524,Cluster 8524,1,unique
8525,Cluster 8525,3,unique
8526,Cluster 8526,6,unique
8527,Cluster 8527,24,accessory
8528,Cluster 8528,5,unique
8529,Cluster 8529,5,unique
8530,Cluster 8530,2,unique
8531,Cluster 8531,1,unique
8532,Cluster 8532,1,unique
8533,Cluster 8533,4,unique
8534,Cluster 8534,60,accessory
8535,Cluster 8535,2,unique
8536,Cluster 8536,61,accessory
8537,Cluster 8537,4,unique
8538,Cluster 8538,2,unique
8539,Cluster 8539,8,unique
8540,Cluster 8540,1,unique
8541,Cluster 8541,3,unique
8542,Cluster 8542,2,unique
8543,Cluster 8543,1,unique
8544,Cluster 8544,1,unique
8545,Cluster 8545,1,unique
8546,Cluster 8546,2,unique
8547,Cluster 8547,1,unique
8548,Cluster 8548,1,unique
8549,Cluster 8549,1,unique
8550,Cluster 8550,58,accessory
8551,Cluster 8551,63,accessory
8552,Cluster 8552,63,accessory
8553,Cluster 8553,63,accessory
8554,Cluster 8554,63,accessory
8555,Cluster 8555,33,accessory
8556,Cluster 8556,63,accessory
8557,Cluster 8557,63,accessory
8558,Cluster 8558,37,accessory
8559,Cluster 8559,63,accessory
8560,Cluster 8560,3,unique
8561,Cluster 8561,63,accessory
8562,Cluster 8562,2,unique
8563,Cluster 8563,2,unique
8564,Cluster 8564,1,unique
8565,Cluster 8565,15,accessory
8566,Cluster 8566,5,unique
8567,Cluster 8567,10,unique
8568,Cluster 8568,5,unique
8569,Cluster 8569,12,unique
8570,Cluster 8570,1,unique
8571,Cluster 8571,7,unique
8572,Cluster 8572,1,unique
8573,Cluster 8573,6,unique
8574,Cluster 8574,2,unique
8575,Cluster 8575,3,unique
8576,Cluster 8576,2,unique
8577,Cluster 8577,1,unique
8578,Cluster 8578,3,unique
8579,Cluster 8579,2,unique
8580,Cluster 8580,3,unique
8581,Cluster 8581,2,unique
8582,Cluster 8582,31,accessory
8583,Cluster 8583,7,unique
8584,Cluster 8584,1,unique
8585,Cluster 8585,2,unique
8586,Cluster 8586,2,unique
8587,Cluster 8587,2,unique
8588,Cluster 8588,1,unique
8589,Cluster 8589,2,unique
8590,Cluster 8590,1,unique
8591,Cluster 8591,1,unique
8592,Cluster 8592,1,unique
8593,Cluster 8593,3,unique
8594,Cluster 8594,1,unique
8595,Cluster 8595,1,unique
8596,Cluster 8596,2,unique
8597,Cluster 8597,1,unique
8598,Cluster 8598,1,unique
8599,Cluster 8599,1,unique
8600,Cluster 8600,1,unique
8601,Cluster 8601,3,unique
8602,Cluster 8602,63,accessory
8603,Cluster 8603,40,accessory
8604,Cluster 8604,58,accessory
8605,Cluster 8605,17,accessory
8606,Cluster 8606,63,accessory
8607,Cluster 8607,63,accessory
8608,Cluster 8608,63,accessory
8609,Cluster 8609,63,accessory
8610,Cluster 8610,63,accessory
8611,Cluster 8611,31,accessory
8612,Cluster 8612,63,accessory
8613,Cluster 8613,2,unique
8614,Cluster 8614,8,unique
8615,Cluster 8615,52,accessory
8616,Cluster 8616,5,unique
8617,Cluster 8617,1,unique
8618,Cluster 8618,17,accessory
8619,Cluster 8619,32,accessory
8620,Cluster 8620,20,accessory
8621,Cluster 8621,1,unique
8622,Cluster 8622,1,unique
8623,Cluster 8623,7,unique
8624,Cluster 8624,1,unique
8625,Cluster 8625,4,unique
8626,Cluster 8626,17,accessory
8627,Cluster 8627,5,unique
8628,Cluster 8628,5,unique
8629,Cluster 8629,1,unique
8630,Cluster 8630,2,unique
8631,Cluster 8631,5,unique
8632,Cluster 8632,2,unique
8633,Cluster 8633,2,unique
8634,Cluster 8634,1,unique
8635,Cluster 8635,1,unique
8636,Cluster 8636,1,unique
8637,Cluster 8637,2,unique
8638,Cluster 8638,2,unique
8639,Cluster 8639,1,unique
8640,Cluster 8640,2,unique
8641,Cluster 8641,1,unique
8642,Cluster 8642,1,unique
8643,Cluster 8643,1,unique
8644,Cluster 8644,3,unique
8645,Cluster 8645,1,unique
8646,Cluster 8646,63,accessory
8647,Cluster 8647,63,accessory
8648,Cluster 8648,20,accessory
8649,Cluster 8649,63,accessory
8650,Cluster 8650,63,accessory
8651,Cluster 8651,8,unique
8652,Cluster 8652,23,accessory
8653,Cluster 8653,6,unique
8654,Cluster 8654,5,unique
8655,Cluster 8655,7,unique
8656,Cluster 8656,26,accessory
8657,Cluster 8657,15,accessory
8658,Cluster 8658,4,unique
8659,Cluster 8659,5,unique
8660,Cluster 8660,4,unique
8661,Cluster 8661,20,accessory
8662,Cluster 8662,1,unique
8663,Cluster 8663,3,unique
8664,Cluster 8664,5,unique
8665,Cluster 8665,2,unique
8666,Cluster 8666,3,unique
8667,Cluster 8667,1,unique
8668,Cluster 8668,1,unique
8669,Cluster 8669,1,unique
8670,Cluster 8670,1,unique
8671,Cluster 8671,1,unique
8672,Cluster 8672,19,accessory
8673,Cluster 8673,96,accessory
8674,Cluster 8674,7,unique
8675,Cluster 8675,63,accessory
8676,Cluster 8676,63,accessory
8677,Cluster 8677,63,accessory
8678,Cluster 8678,12,unique
8679,Cluster 8679,63,accessory
8680,Cluster 8680,2,unique
8681,Cluster 8681,14,accessory
8682,Cluster 8682,3,unique
8683,Cluster 8683,18,accessory
8684,Cluster 8684,14,accessory
8685,Cluster 8685,12,unique
8686,Cluster 8686,23,accessory
8687,Cluster 8687,11,unique
8688,Cluster 8688,3,unique
8689,Cluster 8689,15,accessory
8690,Cluster 8690,1,unique
8691,Cluster 8691,15,accessory
8692,Cluster 8692,2,unique
8693,Cluster 8693,2,unique
8694,Cluster 8694,2,unique
8695,Cluster 8695,1,unique
8696,Cluster 8696,2,unique
8697,Cluster 8697,2,unique
8698,Cluster 8698,3,unique
8699,Cluster 8699,1,unique
8700,Cluster 8700,1,unique
8701,Cluster 8701,1,unique
8702,Cluster 8702,8,unique
8703,Cluster 8703,2,unique
8704,Cluster 8704,63,accessory
8705,Cluster 8705,61,accessory
8706,Cluster 8706,63,accessory
8707,Cluster 8707,63,accessory
8708,Cluster 8708,22,accessory
8709,Cluster 8709,58,accessory
8710,Cluster 8710,63,accessory
8711,Cluster 8711,52,accessory
8712,Cluster 8712,63,accessory
8713,Cluster 8713,63,accessory
8714,Cluster 8714,63,accessory
8715,Cluster 8715,62,accessory
8716,Cluster 8716,12,unique
8717,Cluster 8717,63,accessory
8718,Cluster 8718,2,unique
8719,Cluster 8719,2,unique
