, ,Number of genomes
7669,Cluster 7669,13
7670,Cluster 7670,2
7671,Cluster 7671,1
7672,Cluster 7672,1
7673,Cluster 7673,1
7674,Cluster 7674,1
7675,Cluster 7675,65
7676,Cluster 7676,63
7677,Cluster 7677,58
7678,Cluster 7678,63
7679,Cluster 7679,8
7680,Cluster 7680,63
7681,Cluster 7681,5
7682,Cluster 7682,2
7683,Cluster 7683,4
7684,Cluster 7684,17
7685,Cluster 7685,23
7686,Cluster 7686,49
7687,Cluster 7687,15
7688,Cluster 7688,15
7689,Cluster 7689,62
7690,Cluster 7690,27
7691,Cluster 7691,3
7692,Cluster 7692,6
7693,Cluster 7693,1
7694,Cluster 7694,1
7695,Cluster 7695,1
7696,Cluster 7696,2
7697,Cluster 7697,30
7698,Cluster 7698,1
7699,Cluster 7699,1
7700,Cluster 7700,3
7701,Cluster 7701,1
7702,Cluster 7702,19
7703,Cluster 7703,1
7704,Cluster 7704,1
7705,Cluster 7705,1
7706,Cluster 7706,63
7707,Cluster 7707,63
7708,Cluster 7708,63
7709,Cluster 7709,63
7710,Cluster 7710,6
7711,Cluster 7711,63
7712,Cluster 7712,63
7713,Cluster 7713,5
7714,Cluster 7714,1
7715,Cluster 7715,3
7716,Cluster 7716,1
7717,Cluster 7717,5
7718,Cluster 7718,2
7719,Cluster 7719,15
7720,Cluster 7720,1
7721,Cluster 7721,1
7722,Cluster 7722,9
7723,Cluster 7723,4
7724,Cluster 7724,1
7725,Cluster 7725,1
7726,Cluster 7726,2
7727,Cluster 7727,2
7728,Cluster 7728,6
7729,Cluster 7729,1
7730,Cluster 7730,1
7731,Cluster 7731,2
7732,Cluster 7732,63
7733,Cluster 7733,61
7734,Cluster 7734,63
7735,Cluster 7735,12
7736,Cluster 7736,26
7737,Cluster 7737,2
7738,Cluster 7738,2
7739,Cluster 7739,1
7740,Cluster 7740,8
7741,Cluster 7741,7
7742,Cluster 7742,2
7743,Cluster 7743,2
7744,Cluster 7744,2
7745,Cluster 7745,1
7746,Cluster 7746,3
7747,Cluster 7747,1
7748,Cluster 7748,2
7749,Cluster 7749,7
7750,Cluster 7750,63
7751,Cluster 7751,63
7752,Cluster 7752,59
7753,Cluster 7753,63
7754,Cluster 7754,63
7755,Cluster 7755,63
7756,Cluster 7756,63
7757,Cluster 7757,42
7758,Cluster 7758,63
7759,Cluster 7759,63
7760,Cluster 7760,63
7761,Cluster 7761,35
7762,Cluster 7762,15
7763,Cluster 7763,31
7764,Cluster 7764,41
7765,Cluster 7765,5
7766,Cluster 7766,15
7767,Cluster 7767,6
7768,Cluster 7768,1
7769,Cluster 7769,6
7770,Cluster 7770,1
7771,Cluster 7771,1
7772,Cluster 7772,5
7773,Cluster 7773,8
7774,Cluster 7774,3
7775,Cluster 7775,2
7776,Cluster 7776,3
7777,Cluster 7777,3
7778,Cluster 7778,5
7779,Cluster 7779,1
7780,Cluster 7780,1
7781,Cluster 7781,1
7782,Cluster 7782,1
7783,Cluster 7783,1
7784,Cluster 7784,2
7785,Cluster 7785,5
7786,Cluster 7786,63
7787,Cluster 7787,1
7788,Cluster 7788,63
7789,Cluster 7789,63
7790,Cluster 7790,16
7791,Cluster 7791,64
7792,Cluster 7792,63
7793,Cluster 7793,35
7794,Cluster 7794,100
7795,Cluster 7795,7
7796,Cluster 7796,63
7797,Cluster 7797,28
7798,Cluster 7798,62
7799,Cluster 7799,62
7800,Cluster 7800,4
7801,Cluster 7801,2
7802,Cluster 7802,14
7803,Cluster 7803,19
7804,Cluster 7804,5
7805,Cluster 7805,4
7806,Cluster 7806,1
7807,Cluster 7807,1
7808,Cluster 7808,6
7809,Cluster 7809,10
7810,Cluster 7810,1
7811,Cluster 7811,4
7812,Cluster 7812,2
7813,Cluster 7813,1
7814,Cluster 7814,1
7815,Cluster 7815,60
7816,Cluster 7816,2
7817,Cluster 7817,1
7818,Cluster 7818,1
7819,Cluster 7819,1
7820,Cluster 7820,2
7821,Cluster 7821,1
7822,Cluster 7822,16
7823,Cluster 7823,63
7824,Cluster 7824,63
7825,Cluster 7825,63
7826,Cluster 7826,13
7827,Cluster 7827,89
7828,Cluster 7828,63
7829,Cluster 7829,63
7830,Cluster 7830,20
7831,Cluster 7831,12
7832,Cluster 7832,5
7833,Cluster 7833,1
7834,Cluster 7834,15
7835,Cluster 7835,6
7836,Cluster 7836,22
7837,Cluster 7837,10
7838,Cluster 7838,13
7839,Cluster 7839,1
7840,Cluster 7840,1
7841,Cluster 7841,1
7842,Cluster 7842,5
7843,Cluster 7843,7
7844,Cluster 7844,1
7845,Cluster 7845,1
7846,Cluster 7846,1
7847,Cluster 7847,1
7848,Cluster 7848,1
7849,Cluster 7849,1
7850,Cluster 7850,1
7851,Cluster 7851,1
7852,Cluster 7852,6
7853,Cluster 7853,1
7854,Cluster 7854,63
7855,Cluster 7855,36
7856,Cluster 7856,63
7857,Cluster 7857,63
7858,Cluster 7858,52
7859,Cluster 7859,7
7860,Cluster 7860,63
7861,Cluster 7861,63
7862,Cluster 7862,26
7863,Cluster 7863,35
7864,Cluster 7864,4
7865,Cluster 7865,4
7866,Cluster 7866,23
7867,Cluster 7867,15
7868,Cluster 7868,4
7869,Cluster 7869,3
7870,Cluster 7870,1
7871,Cluster 7871,2
7872,Cluster 7872,3
7873,Cluster 7873,7
7874,Cluster 7874,1
7875,Cluster 7875,2
7876,Cluster 7876,3
7877,Cluster 7877,4
7878,Cluster 7878,1
7879,Cluster 7879,2
7880,Cluster 7880,11
7881,Cluster 7881,1
7882,Cluster 7882,1
7883,Cluster 7883,19
7884,Cluster 7884,1
7885,Cluster 7885,1
7886,Cluster 7886,1
7887,Cluster 7887,1
7888,Cluster 7888,1
7889,Cluster 7889,3
7890,Cluster 7890,1
7891,Cluster 7891,1
7892,Cluster 7892,1
7893,Cluster 7893,63
7894,Cluster 7894,60
7895,Cluster 7895,22
7896,Cluster 7896,63
7897,Cluster 7897,63
7898,Cluster 7898,8
7899,Cluster 7899,63
7900,Cluster 7900,59
7901,Cluster 7901,63
7902,Cluster 7902,63
7903,Cluster 7903,2
7904,Cluster 7904,12
7905,Cluster 7905,5
7906,Cluster 7906,2
7907,Cluster 7907,1
7908,Cluster 7908,2
7909,Cluster 7909,5
7910,Cluster 7910,2
7911,Cluster 7911,5
7912,Cluster 7912,10
7913,Cluster 7913,2
7914,Cluster 7914,1
7915,Cluster 7915,1
7916,Cluster 7916,54
7917,Cluster 7917,9
7918,Cluster 7918,15
7919,Cluster 7919,2
7920,Cluster 7920,2
7921,Cluster 7921,2
7922,Cluster 7922,2
7923,Cluster 7923,1
7924,Cluster 7924,1
7925,Cluster 7925,1
7926,Cluster 7926,1
7927,Cluster 7927,1
7928,Cluster 7928,1
7929,Cluster 7929,1
7930,Cluster 7930,1
7931,Cluster 7931,1
7932,Cluster 7932,1
7933,Cluster 7933,1
7934,Cluster 7934,63
7935,Cluster 7935,63
7936,Cluster 7936,63
7937,Cluster 7937,61
7938,Cluster 7938,5
7939,Cluster 7939,63
7940,Cluster 7940,63
7941,Cluster 7941,63
7942,Cluster 7942,63
7943,Cluster 7943,62
7944,Cluster 7944,3
7945,Cluster 7945,63
7946,Cluster 7946,63
7947,Cluster 7947,22
7948,Cluster 7948,22
7949,Cluster 7949,16
7950,Cluster 7950,22
7951,Cluster 7951,15
7952,Cluster 7952,16
7953,Cluster 7953,20
7954,Cluster 7954,2
7955,Cluster 7955,4
7956,Cluster 7956,1
7957,Cluster 7957,1
7958,Cluster 7958,1
7959,Cluster 7959,6
7960,Cluster 7960,1
7961,Cluster 7961,45
7962,Cluster 7962,1
7963,Cluster 7963,3
7964,Cluster 7964,35
7965,Cluster 7965,18
7966,Cluster 7966,1
7967,Cluster 7967,7
7968,Cluster 7968,2
7969,Cluster 7969,3
7970,Cluster 7970,2
7971,Cluster 7971,1
7972,Cluster 7972,1
7973,Cluster 7973,63
7974,Cluster 7974,63
7975,Cluster 7975,63
7976,Cluster 7976,61
7977,Cluster 7977,61
7978,Cluster 7978,63
7979,Cluster 7979,63
7980,Cluster 7980,63
7981,Cluster 7981,63
7982,Cluster 7982,63
7983,Cluster 7983,63
7984,Cluster 7984,3
7985,Cluster 7985,4
7986,Cluster 7986,46
7987,Cluster 7987,2
7988,Cluster 7988,31
7989,Cluster 7989,6
7990,Cluster 7990,6
7991,Cluster 7991,2
7992,Cluster 7992,23
7993,Cluster 7993,4
7994,Cluster 7994,3
7995,Cluster 7995,4
7996,Cluster 7996,24
7997,Cluster 7997,3
7998,Cluster 7998,19
7999,Cluster 7999,1
8000,Cluster 8000,2
8001,Cluster 8001,2
8002,Cluster 8002,63
8003,Cluster 8003,47
8004,Cluster 8004,63
8005,Cluster 8005,63
8006,Cluster 8006,62
8007,Cluster 8007,15
8008,Cluster 8008,36
8009,Cluster 8009,5
8010,Cluster 8010,15
8011,Cluster 8011,15
8012,Cluster 8012,2
8013,Cluster 8013,9
8014,Cluster 8014,4
8015,Cluster 8015,3
8016,Cluster 8016,5
8017,Cluster 8017,5
8018,Cluster 8018,8
8019,Cluster 8019,1
8020,Cluster 8020,1
8021,Cluster 8021,1
8022,Cluster 8022,4
8023,Cluster 8023,1
8024,Cluster 8024,3
8025,Cluster 8025,2
8026,Cluster 8026,1
8027,Cluster 8027,1
8028,Cluster 8028,3
8029,Cluster 8029,1
8030,Cluster 8030,1
8031,Cluster 8031,1
8032,Cluster 8032,1
8033,Cluster 8033,63
8034,Cluster 8034,63
8035,Cluster 8035,63
8036,Cluster 8036,63
8037,Cluster 8037,63
8038,Cluster 8038,63
8039,Cluster 8039,38
8040,Cluster 8040,37
8041,Cluster 8041,63
8042,Cluster 8042,63
8043,Cluster 8043,2
8044,Cluster 8044,6
8045,Cluster 8045,2
8046,Cluster 8046,22
8047,Cluster 8047,1
8048,Cluster 8048,6
8049,Cluster 8049,2
8050,Cluster 8050,22
8051,Cluster 8051,5
8052,Cluster 8052,6
8053,Cluster 8053,2
8054,Cluster 8054,6
8055,Cluster 8055,8
8056,Cluster 8056,7
8057,Cluster 8057,13
8058,Cluster 8058,1
8059,Cluster 8059,5
8060,Cluster 8060,2
8061,Cluster 8061,1
8062,Cluster 8062,1
8063,Cluster 8063,5
8064,Cluster 8064,3
8065,Cluster 8065,1
8066,Cluster 8066,1
8067,Cluster 8067,5
8068,Cluster 8068,6
8069,Cluster 8069,1
8070,Cluster 8070,1
8071,Cluster 8071,1
8072,Cluster 8072,63
8073,Cluster 8073,63
8074,Cluster 8074,63
8075,Cluster 8075,63
8076,Cluster 8076,63
8077,Cluster 8077,63
8078,Cluster 8078,48
8079,Cluster 8079,63
8080,Cluster 8080,62
8081,Cluster 8081,6
8082,Cluster 8082,56
8083,Cluster 8083,2
8084,Cluster 8084,26
8085,Cluster 8085,20
8086,Cluster 8086,3
8087,Cluster 8087,2
8088,Cluster 8088,6
8089,Cluster 8089,16
8090,Cluster 8090,2
8091,Cluster 8091,2
8092,Cluster 8092,2
8093,Cluster 8093,3
8094,Cluster 8094,1
8095,Cluster 8095,1
8096,Cluster 8096,2
8097,Cluster 8097,4
8098,Cluster 8098,1
8099,Cluster 8099,2
8100,Cluster 8100,3
8101,Cluster 8101,1
8102,Cluster 8102,1
8103,Cluster 8103,56
8104,Cluster 8104,63
8105,Cluster 8105,63
8106,Cluster 8106,63
8107,Cluster 8107,63
8108,Cluster 8108,62
8109,Cluster 8109,63
8110,Cluster 8110,63
8111,Cluster 8111,62
8112,Cluster 8112,17
8113,Cluster 8113,59
8114,Cluster 8114,14
8115,Cluster 8115,63
8116,Cluster 8116,63
8117,Cluster 8117,63
8118,Cluster 8118,4
8119,Cluster 8119,63
8120,Cluster 8120,63
8121,Cluster 8121,2
8122,Cluster 8122,4
8123,Cluster 8123,5
8124,Cluster 8124,1
8125,Cluster 8125,4
8126,Cluster 8126,4
8127,Cluster 8127,22
8128,Cluster 8128,2
8129,Cluster 8129,1
8130,Cluster 8130,1
8131,Cluster 8131,2
8132,Cluster 8132,7
8133,Cluster 8133,3
8134,Cluster 8134,5
8135,Cluster 8135,5
8136,Cluster 8136,3
8137,Cluster 8137,5
8138,Cluster 8138,2
8139,Cluster 8139,1
8140,Cluster 8140,1
8141,Cluster 8141,1
8142,Cluster 8142,1
8143,Cluster 8143,63
8144,Cluster 8144,63
8145,Cluster 8145,63
8146,Cluster 8146,13
8147,Cluster 8147,11
8148,Cluster 8148,1
8149,Cluster 8149,5
8150,Cluster 8150,63
8151,Cluster 8151,63
8152,Cluster 8152,63
8153,Cluster 8153,63
8154,Cluster 8154,10
8155,Cluster 8155,35
8156,Cluster 8156,29
8157,Cluster 8157,16
8158,Cluster 8158,9
8159,Cluster 8159,2
8160,Cluster 8160,1
8161,Cluster 8161,4
8162,Cluster 8162,13
8163,Cluster 8163,4
8164,Cluster 8164,5
8165,Cluster 8165,7
8166,Cluster 8166,1
8167,Cluster 8167,6
8168,Cluster 8168,2
8169,Cluster 8169,3
8170,Cluster 8170,1
8171,Cluster 8171,2
8172,Cluster 8172,1
8173,Cluster 8173,1
8174,Cluster 8174,4
8175,Cluster 8175,1
8176,Cluster 8176,1
8177,Cluster 8177,1
8178,Cluster 8178,63
8179,Cluster 8179,7
8180,Cluster 8180,62
8181,Cluster 8181,100
8182,Cluster 8182,30
8183,Cluster 8183,12
8184,Cluster 8184,1
8185,Cluster 8185,3
8186,Cluster 8186,4
8187,Cluster 8187,2
8188,Cluster 8188,15
8189,Cluster 8189,5
8190,Cluster 8190,2
8191,Cluster 8191,1
8192,Cluster 8192,1
8193,Cluster 8193,1
8194,Cluster 8194,6
8195,Cluster 8195,3
8196,Cluster 8196,1
8197,Cluster 8197,12
8198,Cluster 8198,1
8199,Cluster 8199,1
8200,Cluster 8200,1
8201,Cluster 8201,2
8202,Cluster 8202,62
8203,Cluster 8203,1
8204,Cluster 8204,2
8205,Cluster 8205,17
8206,Cluster 8206,13
8207,Cluster 8207,1
8208,Cluster 8208,1
8209,Cluster 8209,3
8210,Cluster 8210,2
8211,Cluster 8211,1
8212,Cluster 8212,1
8213,Cluster 8213,1
8214,Cluster 8214,4
8215,Cluster 8215,1
8216,Cluster 8216,1
8217,Cluster 8217,2
8218,Cluster 8218,1
8219,Cluster 8219,2
8220,Cluster 8220,1
8221,Cluster 8221,63
8222,Cluster 8222,17
8223,Cluster 8223,23
8224,Cluster 8224,63
8225,Cluster 8225,63
8226,Cluster 8226,61
8227,Cluster 8227,63
8228,Cluster 8228,63
8229,Cluster 8229,63
8230,Cluster 8230,49
8231,Cluster 8231,63
8232,Cluster 8232,63
8233,Cluster 8233,63
8234,Cluster 8234,36
8235,Cluster 8235,6
8236,Cluster 8236,63
8237,Cluster 8237,63
8238,Cluster 8238,58
8239,Cluster 8239,57
8240,Cluster 8240,63
8241,Cluster 8241,12
8242,Cluster 8242,4
8243,Cluster 8243,20
8244,Cluster 8244,18
8245,Cluster 8245,15
8246,Cluster 8246,28
8247,Cluster 8247,2
8248,Cluster 8248,1
8249,Cluster 8249,1
8250,Cluster 8250,1
8251,Cluster 8251,3
8252,Cluster 8252,4
8253,Cluster 8253,3
8254,Cluster 8254,3
8255,Cluster 8255,4
8256,Cluster 8256,3
8257,Cluster 8257,2
8258,Cluster 8258,1
8259,Cluster 8259,1
8260,Cluster 8260,1
8261,Cluster 8261,2
8262,Cluster 8262,1
8263,Cluster 8263,1
8264,Cluster 8264,1
8265,Cluster 8265,1
8266,Cluster 8266,1
8267,Cluster 8267,63
8268,Cluster 8268,63
8269,Cluster 8269,63
8270,Cluster 8270,39
8271,Cluster 8271,26
8272,Cluster 8272,63
8273,Cluster 8273,63
8274,Cluster 8274,63
8275,Cluster 8275,63
8276,Cluster 8276,3
8277,Cluster 8277,51
8278,Cluster 8278,33
8279,Cluster 8279,17
8280,Cluster 8280,41
8281,Cluster 8281,12
8282,Cluster 8282,19
8283,Cluster 8283,21
8284,Cluster 8284,26
8285,Cluster 8285,1
8286,Cluster 8286,5
8287,Cluster 8287,4
8288,Cluster 8288,3
8289,Cluster 8289,7
8290,Cluster 8290,4
8291,Cluster 8291,1
8292,Cluster 8292,4
8293,Cluster 8293,2
8294,Cluster 8294,1
8295,Cluster 8295,3
8296,Cluster 8296,3
8297,Cluster 8297,1
8298,Cluster 8298,1
8299,Cluster 8299,1
8300,Cluster 8300,1
8301,Cluster 8301,1
8302,Cluster 8302,1
8303,Cluster 8303,1
8304,Cluster 8304,1
8305,Cluster 8305,63
8306,Cluster 8306,57
8307,Cluster 8307,13
8308,Cluster 8308,63
8309,Cluster 8309,61
8310,Cluster 8310,63
8311,Cluster 8311,65
8312,Cluster 8312,3
8313,Cluster 8313,3
8314,Cluster 8314,2
8315,Cluster 8315,2
8316,Cluster 8316,15
8317,Cluster 8317,1
8318,Cluster 8318,7
8319,Cluster 8319,5
8320,Cluster 8320,1
8321,Cluster 8321,3
8322,Cluster 8322,3
8323,Cluster 8323,3
8324,Cluster 8324,4
8325,Cluster 8325,3
8326,Cluster 8326,1
8327,Cluster 8327,5
8328,Cluster 8328,42
8329,Cluster 8329,3
8330,Cluster 8330,1
8331,Cluster 8331,1
8332,Cluster 8332,1
8333,Cluster 8333,1
8334,Cluster 8334,1
8335,Cluster 8335,1
8336,Cluster 8336,1
8337,Cluster 8337,1
8338,Cluster 8338,25
8339,Cluster 8339,63
8340,Cluster 8340,63
8341,Cluster 8341,63
8342,Cluster 8342,7
8343,Cluster 8343,38
8344,Cluster 8344,7
8345,Cluster 8345,63
8346,Cluster 8346,6
8347,Cluster 8347,61
8348,Cluster 8348,1
8349,Cluster 8349,8
8350,Cluster 8350,15
8351,Cluster 8351,19
8352,Cluster 8352,25
8353,Cluster 8353,4
8354,Cluster 8354,1
8355,Cluster 8355,4
8356,Cluster 8356,2
8357,Cluster 8357,2
8358,Cluster 8358,9
8359,Cluster 8359,1
8360,Cluster 8360,1
8361,Cluster 8361,1
8362,Cluster 8362,1
8363,Cluster 8363,1
8364,Cluster 8364,2
8365,Cluster 8365,3
8366,Cluster 8366,1
8367,Cluster 8367,1
8368,Cluster 8368,2
8369,Cluster 8369,1
8370,Cluster 8370,5
8371,Cluster 8371,1
8372,Cluster 8372,1
8373,Cluster 8373,1
8374,Cluster 8374,3
8375,Cluster 8375,3
8376,Cluster 8376,1
8377,Cluster 8377,63
8378,Cluster 8378,63
8379,Cluster 8379,63
8380,Cluster 8380,59
8381,Cluster 8381,2
8382,Cluster 8382,3
8383,Cluster 8383,45
8384,Cluster 8384,52
8385,Cluster 8385,52
8386,Cluster 8386,5
8387,Cluster 8387,8
8388,Cluster 8388,1
8389,Cluster 8389,1
8390,Cluster 8390,5
8391,Cluster 8391,5
8392,Cluster 8392,21
8393,Cluster 8393,2
8394,Cluster 8394,1
8395,Cluster 8395,2
8396,Cluster 8396,2
8397,Cluster 8397,22
8398,Cluster 8398,2
8399,Cluster 8399,1
8400,Cluster 8400,2
8401,Cluster 8401,1
8402,Cluster 8402,1
8403,Cluster 8403,1
8404,Cluster 8404,1
8405,Cluster 8405,1
8406,Cluster 8406,63
8407,Cluster 8407,63
8408,Cluster 8408,63
8409,Cluster 8409,63
8410,Cluster 8410,63
8411,Cluster 8411,63
8412,Cluster 8412,32
8413,Cluster 8413,63
8414,Cluster 8414,63
8415,Cluster 8415,63
8416,Cluster 8416,13
8417,Cluster 8417,28
8418,Cluster 8418,46
8419,Cluster 8419,63
8420,Cluster 8420,63
8421,Cluster 8421,63
8422,Cluster 8422,63
8423,Cluster 8423,3
8424,Cluster 8424,8
8425,Cluster 8425,8
8426,Cluster 8426,5
8427,Cluster 8427,25
8428,Cluster 8428,35
8429,Cluster 8429,7
8430,Cluster 8430,6
8431,Cluster 8431,15
8432,Cluster 8432,2
8433,Cluster 8433,1
8434,Cluster 8434,1
8435,Cluster 8435,7
8436,Cluster 8436,7
8437,Cluster 8437,2
8438,Cluster 8438,2
8439,Cluster 8439,3
8440,Cluster 8440,63
8441,Cluster 8441,2
8442,Cluster 8442,53
8443,Cluster 8443,1
8444,Cluster 8444,2
8445,Cluster 8445,5
8446,Cluster 8446,1
8447,Cluster 8447,1
8448,Cluster 8448,2
8449,Cluster 8449,1
8450,Cluster 8450,1
8451,Cluster 8451,3
8452,Cluster 8452,2
8453,Cluster 8453,1
8454,Cluster 8454,1
8455,Cluster 8455,1
8456,Cluster 8456,1
8457,Cluster 8457,1
8458,Cluster 8458,3
8459,Cluster 8459,2
8460,Cluster 8460,2
8461,Cluster 8461,2
8462,Cluster 8462,1
8463,Cluster 8463,1
8464,Cluster 8464,1
8465,Cluster 8465,2
8466,Cluster 8466,63
8467,Cluster 8467,62
8468,Cluster 8468,63
8469,Cluster 8469,63
8470,Cluster 8470,62
8471,Cluster 8471,42
8472,Cluster 8472,31
8473,Cluster 8473,63
8474,Cluster 8474,7
8475,Cluster 8475,48
8476,Cluster 8476,6
8477,Cluster 8477,4
8478,Cluster 8478,2
8479,Cluster 8479,8
8480,Cluster 8480,1
8481,Cluster 8481,63
8482,Cluster 8482,15
8483,Cluster 8483,7
8484,Cluster 8484,1
8485,Cluster 8485,1
8486,Cluster 8486,1
8487,Cluster 8487,19
8488,Cluster 8488,2
8489,Cluster 8489,1
8490,Cluster 8490,1
8491,Cluster 8491,8
8492,Cluster 8492,3
8493,Cluster 8493,14
8494,Cluster 8494,2
8495,Cluster 8495,1
8496,Cluster 8496,2
8497,Cluster 8497,1
8498,Cluster 8498,4
8499,Cluster 8499,5
8500,Cluster 8500,3
8501,Cluster 8501,1
8502,Cluster 8502,3
8503,Cluster 8503,1
8504,Cluster 8504,2
8505,Cluster 8505,1
8506,Cluster 8506,2
8507,Cluster 8507,1
8508,Cluster 8508,1
8509,Cluster 8509,1
8510,Cluster 8510,46
8511,Cluster 8511,11
8512,Cluster 8512,38
8513,Cluster 8513,5
8514,Cluster 8514,63
8515,Cluster 8515,63
8516,Cluster 8516,17
8517,Cluster 8517,63
8518,Cluster 8518,63
8519,Cluster 8519,63
8520,Cluster 8520,63
8521,Cluster 8521,10
8522,Cluster 8522,2
8523,Cluster 8523,11
8524,Cluster 8524,1
8525,Cluster 8525,3
8526,Cluster 8526,6
8527,Cluster 8527,24
8528,Cluster 8528,5
8529,Cluster 8529,5
8530,Cluster 8530,2
8531,Cluster 8531,1
8532,Cluster 8532,1
8533,Cluster 8533,4
8534,Cluster 8534,60
8535,Cluster 8535,2
8536,Cluster 8536,61
8537,Cluster 8537,4
8538,Cluster 8538,2
8539,Cluster 8539,8
8540,Cluster 8540,1
8541,Cluster 8541,3
8542,Cluster 8542,2
8543,Cluster 8543,1
8544,Cluster 8544,1
8545,Cluster 8545,1
8546,Cluster 8546,2
8547,Cluster 8547,1
8548,Cluster 8548,1
8549,Cluster 8549,1
8550,Cluster 8550,58
8551,Cluster 8551,63
8552,Cluster 8552,63
8553,Cluster 8553,63
8554,Cluster 8554,63
8555,Cluster 8555,33
8556,Cluster 8556,63
8557,Cluster 8557,63
8558,Cluster 8558,37
8559,Cluster 8559,63
8560,Cluster 8560,3
8561,Cluster 8561,63
8562,Cluster 8562,2
8563,Cluster 8563,2
8564,Cluster 8564,1
8565,Cluster 8565,15
8566,Cluster 8566,5
8567,Cluster 8567,10
8568,Cluster 8568,5
8569,Cluster 8569,12
8570,Cluster 8570,1
8571,Cluster 8571,7
8572,Cluster 8572,1
8573,Cluster 8573,6
8574,Cluster 8574,2
8575,Cluster 8575,3
8576,Cluster 8576,2
8577,Cluster 8577,1
8578,Cluster 8578,3
8579,Cluster 8579,2
8580,Cluster 8580,3
8581,Cluster 8581,2
8582,Cluster 8582,31
8583,Cluster 8583,7
8584,Cluster 8584,1
8585,Cluster 8585,2
8586,Cluster 8586,2
8587,Cluster 8587,2
8588,Cluster 8588,1
8589,Cluster 8589,2
8590,Cluster 8590,1
8591,Cluster 8591,1
8592,Cluster 8592,1
8593,Cluster 8593,3
8594,Cluster 8594,1
8595,Cluster 8595,1
8596,Cluster 8596,2
8597,Cluster 8597,1
8598,Cluster 8598,1
8599,Cluster 8599,1
8600,Cluster 8600,1
8601,Cluster 8601,3
8602,Cluster 8602,63
8603,Cluster 8603,40
8604,Cluster 8604,58
8605,Cluster 8605,17
8606,Cluster 8606,63
8607,Cluster 8607,63
8608,Cluster 8608,63
8609,Cluster 8609,63
8610,Cluster 8610,63
8611,Cluster 8611,31
8612,Cluster 8612,63
8613,Cluster 8613,2
8614,Cluster 8614,8
8615,Cluster 8615,52
8616,Cluster 8616,5
8617,Cluster 8617,1
8618,Cluster 8618,17
8619,Cluster 8619,32
8620,Cluster 8620,20
8621,Cluster 8621,1
8622,Cluster 8622,1
8623,Cluster 8623,7
8624,Cluster 8624,1
8625,Cluster 8625,4
8626,Cluster 8626,17
8627,Cluster 8627,5
8628,Cluster 8628,5
8629,Cluster 8629,1
8630,Cluster 8630,2
8631,Cluster 8631,5
8632,Cluster 8632,2
8633,Cluster 8633,2
8634,Cluster 8634,1
8635,Cluster 8635,1
8636,Cluster 8636,1
8637,Cluster 8637,2
8638,Cluster 8638,2
8639,Cluster 8639,1
8640,Cluster 8640,2
8641,Cluster 8641,1
8642,Cluster 8642,1
8643,Cluster 8643,1
8644,Cluster 8644,3
8645,Cluster 8645,1
8646,Cluster 8646,63
8647,Cluster 8647,63
8648,Cluster 8648,20
8649,Cluster 8649,63
8650,Cluster 8650,63
8651,Cluster 8651,8
8652,Cluster 8652,23
8653,Cluster 8653,6
8654,Cluster 8654,5
8655,Cluster 8655,7
8656,Cluster 8656,26
8657,Cluster 8657,15
8658,Cluster 8658,4
8659,Cluster 8659,5
8660,Cluster 8660,4
8661,Cluster 8661,20
8662,Cluster 8662,1
8663,Cluster 8663,3
8664,Cluster 8664,5
8665,Cluster 8665,2
8666,Cluster 8666,3
8667,Cluster 8667,1
8668,Cluster 8668,1
8669,Cluster 8669,1
8670,Cluster 8670,1
8671,Cluster 8671,1
8672,Cluster 8672,19
8673,Cluster 8673,96
8674,Cluster 8674,7
8675,Cluster 8675,63
8676,Cluster 8676,63
8677,Cluster 8677,63
8678,Cluster 8678,12
8679,Cluster 8679,63
8680,Cluster 8680,2
8681,Cluster 8681,14
8682,Cluster 8682,3
8683,Cluster 8683,18
8684,Cluster 8684,14
8685,Cluster 8685,12
8686,Cluster 8686,23
8687,Cluster 8687,11
8688,Cluster 8688,3
8689,Cluster 8689,15
8690,Cluster 8690,1
8691,Cluster 8691,15
8692,Cluster 8692,2
8693,Cluster 8693,2
8694,Cluster 8694,2
8695,Cluster 8695,1
8696,Cluster 8696,2
8697,Cluster 8697,2
8698,Cluster 8698,3
8699,Cluster 8699,1
8700,Cluster 8700,1
8701,Cluster 8701,1
8702,Cluster 8702,8
8703,Cluster 8703,2
8704,Cluster 8704,63
8705,Cluster 8705,61
8706,Cluster 8706,63
8707,Cluster 8707,63
8708,Cluster 8708,22
8709,Cluster 8709,58
8710,Cluster 8710,63
8711,Cluster 8711,52
8712,Cluster 8712,63
8713,Cluster 8713,63
8714,Cluster 8714,63
8715,Cluster 8715,62
8716,Cluster 8716,12
8717,Cluster 8717,63
8718,Cluster 8718,2
8719,Cluster 8719,2
8720,Cluster 8720,2
8721,Cluster 8721,2
8722,Cluster 8722,10
8723,Cluster 8723,5
8724,Cluster 8724,5
8725,Cluster 8725,11
8726,Cluster 8726,22
8727,Cluster 8727,20
8728,Cluster 8728,1
8729,Cluster 8729,1
8730,Cluster 8730,1
8731,Cluster 8731,1
8732,Cluster 8732,5
8733,Cluster 8733,8
8734,Cluster 8734,5
8735,Cluster 8735,7
8736,Cluster 8736,26
8737,Cluster 8737,1
8738,Cluster 8738,2
8739,Cluster 8739,2
8740,Cluster 8740,4
8741,Cluster 8741,26
8742,Cluster 8742,2
8743,Cluster 8743,1
8744,Cluster 8744,1
