, ,Number of genomes
667,Cluster 667,63
668,Cluster 668,26
669,Cluster 669,2
670,Cluster 670,63
671,Cluster 671,22
672,Cluster 672,1
673,Cluster 673,1
674,Cluster 674,44
675,Cluster 675,9
676,Cluster 676,2
677,Cluster 677,1
678,Cluster 678,54
679,Cluster 679,2
680,Cluster 680,11
681,Cluster 681,6
682,Cluster 682,14
683,Cluster 683,8
684,Cluster 684,12
685,Cluster 685,17
686,Cluster 686,2
687,Cluster 687,1
688,Cluster 688,63
689,Cluster 689,13
690,Cluster 690,63
691,Cluster 691,48
692,Cluster 692,1
693,Cluster 693,1
694,Cluster 694,3
695,Cluster 695,5
696,Cluster 696,63
697,Cluster 697,1
698,Cluster 698,17
699,Cluster 699,9
700,Cluster 700,1
701,Cluster 701,1
702,Cluster 702,1
703,Cluster 703,5
704,Cluster 704,2
705,Cluster 705,63
706,Cluster 706,1
707,Cluster 707,1
708,Cluster 708,1
709,Cluster 709,61
710,Cluster 710,22
711,Cluster 711,2
712,Cluster 712,5
713,Cluster 713,1
714,Cluster 714,1
715,Cluster 715,1
716,Cluster 716,63
717,Cluster 717,63
718,Cluster 718,62
719,Cluster 719,38
720,Cluster 720,63
721,Cluster 721,38
722,Cluster 722,29
723,Cluster 723,2
724,Cluster 724,6
725,Cluster 725,1
726,Cluster 726,63
727,Cluster 727,2
728,Cluster 728,6
729,Cluster 729,2
730,Cluster 730,63
731,Cluster 731,63
732,Cluster 732,63
733,Cluster 733,1
734,Cluster 734,3
735,Cluster 735,3
736,Cluster 736,5
737,Cluster 737,7
738,Cluster 738,1
739,Cluster 739,1
740,Cluster 740,4
741,Cluster 741,2
742,Cluster 742,1
743,Cluster 743,1
744,Cluster 744,9
745,Cluster 745,1
746,Cluster 746,2
747,Cluster 747,3
748,Cluster 748,63
749,Cluster 749,1
750,Cluster 750,1
751,Cluster 751,63
752,Cluster 752,63
753,Cluster 753,2
754,Cluster 754,1
755,Cluster 755,1
756,Cluster 756,1
757,Cluster 757,63
758,Cluster 758,3
759,Cluster 759,63
760,Cluster 760,63
761,Cluster 761,19
762,Cluster 762,1
763,Cluster 763,27
764,Cluster 764,59
765,Cluster 765,1
766,Cluster 766,20
767,Cluster 767,8
768,Cluster 768,63
769,Cluster 769,63
770,Cluster 770,28
771,Cluster 771,1
772,Cluster 772,63
773,Cluster 773,5
774,Cluster 774,1
775,Cluster 775,63
776,Cluster 776,7
777,Cluster 777,33
778,Cluster 778,2
779,Cluster 779,3
780,Cluster 780,63
781,Cluster 781,60
782,Cluster 782,9
783,Cluster 783,5
784,Cluster 784,2
785,Cluster 785,3
786,Cluster 786,17
787,Cluster 787,1
788,Cluster 788,14
789,Cluster 789,1
790,Cluster 790,63
791,Cluster 791,4
792,Cluster 792,63
793,Cluster 793,6
794,Cluster 794,10
795,Cluster 795,2
796,Cluster 796,62
797,Cluster 797,63
798,Cluster 798,41
799,Cluster 799,15
800,Cluster 800,1
801,Cluster 801,3
802,Cluster 802,1
803,Cluster 803,63
804,Cluster 804,1
805,Cluster 805,60
806,Cluster 806,63
807,Cluster 807,63
808,Cluster 808,69
809,Cluster 809,6
810,Cluster 810,20
811,Cluster 811,2
812,Cluster 812,2
813,Cluster 813,63
814,Cluster 814,20
815,Cluster 815,63
816,Cluster 816,1
817,Cluster 817,42
818,Cluster 818,19
819,Cluster 819,63
820,Cluster 820,63
821,Cluster 821,61
822,Cluster 822,1
823,Cluster 823,6
824,Cluster 824,1
825,Cluster 825,1
826,Cluster 826,63
827,Cluster 827,1
828,Cluster 828,2
829,Cluster 829,40
830,Cluster 830,18
831,Cluster 831,5
832,Cluster 832,63
833,Cluster 833,57
834,Cluster 834,63
835,Cluster 835,20
836,Cluster 836,2
837,Cluster 837,1
838,Cluster 838,2
839,Cluster 839,27
840,Cluster 840,63
841,Cluster 841,55
842,Cluster 842,1
843,Cluster 843,63
844,Cluster 844,63
845,Cluster 845,16
846,Cluster 846,38
847,Cluster 847,63
848,Cluster 848,5
849,Cluster 849,1
850,Cluster 850,5
851,Cluster 851,2
852,Cluster 852,63
853,Cluster 853,4
854,Cluster 854,63
855,Cluster 855,63
856,Cluster 856,18
857,Cluster 857,59
858,Cluster 858,1
859,Cluster 859,2
860,Cluster 860,1
861,Cluster 861,58
862,Cluster 862,49
863,Cluster 863,5
864,Cluster 864,25
865,Cluster 865,5
866,Cluster 866,1
867,Cluster 867,1
868,Cluster 868,61
869,Cluster 869,63
870,Cluster 870,1
871,Cluster 871,1
872,Cluster 872,62
873,Cluster 873,62
874,Cluster 874,1
875,Cluster 875,63
876,Cluster 876,63
877,Cluster 877,41
878,Cluster 878,63
879,Cluster 879,34
880,Cluster 880,1
881,Cluster 881,9
882,Cluster 882,63
883,Cluster 883,1
884,Cluster 884,63
885,Cluster 885,1
886,Cluster 886,40
887,Cluster 887,40
888,Cluster 888,63
889,Cluster 889,35
890,Cluster 890,62
891,Cluster 891,1
892,Cluster 892,63
893,Cluster 893,63
894,Cluster 894,2
895,Cluster 895,6
896,Cluster 896,63
897,Cluster 897,4
898,Cluster 898,17
899,Cluster 899,1
900,Cluster 900,4
901,Cluster 901,1
902,Cluster 902,3
903,Cluster 903,46
904,Cluster 904,2
905,Cluster 905,63
906,Cluster 906,1
907,Cluster 907,63
908,Cluster 908,63
909,Cluster 909,56
910,Cluster 910,63
911,Cluster 911,63
912,Cluster 912,54
913,Cluster 913,8
914,Cluster 914,1
915,Cluster 915,63
916,Cluster 916,41
917,Cluster 917,3
918,Cluster 918,19
919,Cluster 919,63
920,Cluster 920,63
921,Cluster 921,2
922,Cluster 922,63
923,Cluster 923,63
924,Cluster 924,63
925,Cluster 925,32
926,Cluster 926,1
927,Cluster 927,4
928,Cluster 928,1
929,Cluster 929,32
930,Cluster 930,56
931,Cluster 931,3
932,Cluster 932,3
933,Cluster 933,63
934,Cluster 934,7
935,Cluster 935,3
936,Cluster 936,63
937,Cluster 937,47
938,Cluster 938,1
939,Cluster 939,1
940,Cluster 940,1
941,Cluster 941,63
942,Cluster 942,1
943,Cluster 943,4
944,Cluster 944,63
945,Cluster 945,4
946,Cluster 946,63
947,Cluster 947,1
948,Cluster 948,4
949,Cluster 949,2
950,Cluster 950,1
951,Cluster 951,63
952,Cluster 952,1
953,Cluster 953,63
954,Cluster 954,12
955,Cluster 955,1
956,Cluster 956,58
957,Cluster 957,20
958,Cluster 958,3
959,Cluster 959,2
960,Cluster 960,63
961,Cluster 961,63
962,Cluster 962,63
963,Cluster 963,1
964,Cluster 964,63
965,Cluster 965,9
966,Cluster 966,1
967,Cluster 967,55
968,Cluster 968,16
969,Cluster 969,1
970,Cluster 970,4
971,Cluster 971,1
972,Cluster 972,2
973,Cluster 973,4
974,Cluster 974,16
975,Cluster 975,4
976,Cluster 976,15
977,Cluster 977,46
978,Cluster 978,35
979,Cluster 979,34
980,Cluster 980,1
981,Cluster 981,63
982,Cluster 982,62
983,Cluster 983,63
984,Cluster 984,2
985,Cluster 985,63
986,Cluster 986,2
987,Cluster 987,3
988,Cluster 988,12
989,Cluster 989,1
990,Cluster 990,1
991,Cluster 991,63
